pair,variant,tf,entry_date,exit_date,side,entry_price,sl,exit_reason,pnl,r_multiple
ALGO,ST-V2,5m,2026-05-15 21:55:00+00:00,2026-05-15 23:15:00+00:00,short,0.1123,0.1129,sl,-0.0006,-1.0
ALGO,ST-V2,5m,2026-05-16 01:45:00+00:00,2026-05-16 05:00:00+00:00,long,0.1137,0.1124,sl,-0.0013,-1.0
ENA,ST-V2,5m,2026-05-12 20:25:00+00:00,2026-05-13 01:15:00+00:00,long,0.1217,0.1208,tp2,0.0015,1.6
ENA,ST-V2,5m,2026-05-13 08:00:00+00:00,2026-05-13 09:10:00+00:00,short,0.1234,0.1241,sl,-0.0006,-1.0
ENA,ST-V2,5m,2026-05-13 13:45:00+00:00,2026-05-14 14:50:00+00:00,short,0.1182,0.1214,sl,-0.0032,-1.0
ENA,ST-V2,5m,2026-05-14 22:55:00+00:00,2026-05-15 02:10:00+00:00,short,0.1215,0.1222,tp2,0.0012,1.6
ENA,ST-V2,5m,2026-05-15 08:15:00+00:00,2026-05-15 13:30:00+00:00,short,0.1185,0.1203,tp2,0.0028,1.6
ENA,ST-V2,5m,2026-05-15 19:45:00+00:00,2026-05-15 21:55:00+00:00,short,0.1121,0.1128,tp2,0.0012,1.6
ENA,ST-V2,5m,2026-05-16 01:20:00+00:00,2026-05-16 03:20:00+00:00,short,0.1107,0.1116,sl,-0.0009,-1.0
ENA,ST-V2,5m,2026-05-16 04:15:00+00:00,2026-05-16 04:30:00+00:00,long,0.1115,0.1106,sl,-0.0009,-1.0
FIL,ST-V2,5m,2026-05-15 14:40:00+00:00,2026-05-16 00:40:00+00:00,short,0.992,1.0201,sl,-0.0281,-1.0
FIL,ST-V2,5m,2026-05-16 15:30:00+00:00,2026-05-17 00:40:00+00:00,long,0.977,0.9676,sl,-0.0094,-1.0
FIL,ST-V2,5m,2026-05-17 05:45:00+00:00,2026-05-17 13:00:00+00:00,long,0.975,0.9685,sl,-0.0065,-1.0
FIL,ST-V2,5m,2026-05-17 15:25:00+00:00,2026-05-17 21:25:00+00:00,short,0.962,0.9706,sl,-0.0086,-1.0
FIL,ST-V2,5m,2026-05-18 00:05:00+00:00,2026-05-18 19:50:00+00:00,short,0.936,0.9566,sl,-0.0206,-1.0
KAS,ST-V2,5m,2026-05-12 13:30:00+00:00,2026-05-13 15:55:00+00:00,short,0.0383,0.0389,tp2,0.001,1.6
KAS,ST-V2,5m,2026-05-14 13:45:00+00:00,2026-05-15 08:30:00+00:00,long,0.0373,0.0366,sl,0.0001,0.1
KAS,ST-V2,5m,2026-05-15 16:10:00+00:00,2026-05-15 22:10:00+00:00,short,0.0355,0.0358,tp2,0.0004,1.6
KAS,ST-V2,5m,2026-05-16 00:10:00+00:00,2026-05-16 04:30:00+00:00,short,0.0351,0.0352,tp2,0.0003,1.6
OP,ST-V2,5m,2026-05-16 03:35:00+00:00,2026-05-16 03:50:00+00:00,long,0.1375,0.1368,sl,-0.0007,-1.0
OP,ST-V2,5m,2026-05-16 05:40:00+00:00,2026-05-16 07:10:00+00:00,short,0.1358,0.1373,tp2,0.0024,1.6
OP,ST-V2,5m,2026-05-16 21:50:00+00:00,2026-05-17 01:35:00+00:00,short,0.1333,0.1341,tp2,0.0012,1.6
